,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
NTS,0.0,0.02,0.072,0.01,0.028,0.2,0.0,0.011,0.001,0.508,0.003,0.003,0.003,0.007,0.834,0.017
KRT14,0.001,0.014,0.023,0.418,0.002,0.035,0.001,0.016,0.002,0.864,0.014,0.247,0.087,0.017,0.081,0.018
SPRR3,0.001,0.017,0.092,0.008,0.028,0.231,0.004,0.026,0.002,0.899,0.01,0.004,0.007,0.012,0.356,0.021
KRT13,0.002,0.014,0.297,0.002,0.012,0.021,0.002,0.074,0.035,0.937,0.159,0.0,0.019,0.009,0.02,0.019
UPK1B,0.0,0.003,0.012,0.006,0.001,0.033,0.0,0.001,0.001,0.106,0.017,0.0,0.001,0.001,0.994,0.003
S100A7,0.0,0.003,0.003,0.11,0.0,0.002,0.007,0.137,0.001,0.069,0.003,0.979,0.077,0.01,0.001,0.021
HLA-DQA1,0.026,0.655,0.128,0.035,0.155,0.472,0.482,0.065,0.01,0.115,0.017,0.158,0.048,0.096,0.125,0.064
MAGEA4,0.304,0.709,0.047,0.122,0.052,0.157,0.031,0.044,0.02,0.05,0.022,0.522,0.098,0.108,0.237,0.065
AKR1B10,0.0,0.002,0.008,0.002,0.006,0.99,0.002,0.001,0.0,0.012,0.0,0.003,0.001,0.002,0.139,0.001
GSTA1,0.0,0.002,0.018,0.001,0.008,0.949,0.0,0.001,0.0,0.009,0.0,0.0,0.0,0.001,0.315,0.001
SPRR1B,0.003,0.021,0.058,0.091,0.013,0.049,0.004,0.04,0.005,0.986,0.017,0.056,0.052,0.023,0.07,0.025
SPRR1A,0.002,0.014,0.046,0.064,0.006,0.062,0.003,0.026,0.004,0.988,0.019,0.046,0.043,0.017,0.087,0.023
SFTPC,0.01,0.018,0.002,0.022,0.002,0.006,0.021,0.013,0.031,0.013,0.05,0.073,0.03,0.026,0.016,0.994
RPS4Y1,0.291,0.002,0.002,0.01,0.001,0.0,0.011,0.028,0.494,0.003,0.135,0.003,0.807,0.006,0.0,0.001
MMP10,0.001,0.013,0.02,0.998,0.003,0.008,0.0,0.011,0.003,0.036,0.012,0.026,0.031,0.008,0.031,0.007
CES1,0.0,0.001,0.004,0.001,0.005,0.972,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.001,0.235,0.001
LY6D,0.113,0.007,0.015,0.004,0.001,0.0,0.019,0.807,0.244,0.01,0.453,0.003,0.266,0.008,0.0,0.015
KRT6B,0.002,0.016,0.052,0.074,0.02,0.174,0.005,0.016,0.001,0.964,0.003,0.077,0.023,0.016,0.155,0.01
KRT6A,0.005,0.028,0.094,0.051,0.056,0.214,0.011,0.029,0.002,0.947,0.005,0.041,0.022,0.023,0.195,0.016
ADH1C,0.008,0.061,0.187,0.049,0.065,0.222,0.006,0.049,0.011,0.919,0.038,0.023,0.031,0.035,0.232,0.025
ADH7,0.0,0.001,0.009,0.0,0.006,0.98,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.198,0.0
FGG,0.037,0.052,0.019,0.051,0.017,0.043,0.04,0.047,0.074,0.05,0.109,0.088,0.066,0.068,0.074,0.972
