,0,1,2,3
NTS,0.039,0.021,0.049,0.998
KRT14,0.988,0.027,0.086,0.128
SPRR3,0.047,0.039,0.077,0.995
KRT13,0.031,0.045,0.993,0.106
UPK1B,0.042,0.013,0.96,0.276
S100A7,0.995,0.04,0.078,0.049
HLA-DQA1,0.112,0.144,0.098,0.978
MAGEA4,0.185,0.119,0.15,0.964
AKR1B10,0.039,0.034,0.025,0.998
GSTA1,0.019,0.014,0.019,1.0
SPRR1B,0.963,0.071,0.143,0.219
SPRR1A,0.145,0.056,0.138,0.978
SFTPC,0.152,0.087,0.981,0.08
RPS4Y1,0.03,0.048,0.998,0.007
MMP10,0.977,0.035,0.144,0.156
CES1,0.022,0.018,0.018,0.999
LY6D,0.019,0.03,0.999,0.005
KRT6B,0.113,0.048,0.057,0.991
KRT6A,0.089,0.057,0.059,0.993
ADH1C,0.077,0.055,0.118,0.988
ADH7,0.017,0.018,0.017,1.0
FGG,0.954,0.128,0.229,0.142
SERPINB2,0.971,0.062,0.15,0.176
SCGB1A1,0.073,0.018,0.106,0.992
KRT5,0.086,0.189,0.043,0.977
PLUNC,0.089,0.068,0.13,0.985
LTF,0.161,0.091,0.13,0.974
SFTPB,0.157,0.074,0.977,0.125
CEACAM5,0.116,0.075,0.165,0.977
FBN2,0.035,0.023,0.024,0.999
DEFB1,0.069,0.129,0.976,0.159
NR0B1,0.006,0.003,0.003,1.0
CXCL14,0.979,0.05,0.1,0.172
CLCA2,0.095,0.024,0.059,0.993
SERPINB3,0.102,0.027,0.082,0.991
WIF1,0.049,0.065,0.056,0.995
KRT15,0.042,0.046,0.054,0.997
UCHL1,0.024,0.056,0.02,0.998
AKR1C3,0.022,0.008,0.01,1.0
PTHLH,0.091,0.019,0.035,0.995
GPX2,0.003,0.008,0.009,1.0
KRT16,0.992,0.051,0.082,0.077
ALDH3A1,0.006,0.01,0.005,1.0
HMGA2,0.107,0.085,0.136,0.981
CALB1,0.042,0.015,0.027,0.999
KRT17,0.539,0.02,0.692,0.48
PI3,0.1,0.036,0.055,0.993
CXCL6,0.095,0.187,0.962,0.174
GPC3,0.056,0.067,0.067,0.994
SFTPD,0.966,0.113,0.207,0.103
C4BPA,0.964,0.128,0.211,0.1
MAGEA1,0.161,0.139,0.971,0.107
MAGEA9,0.125,0.119,0.975,0.142
KRT23,0.098,0.087,0.989,0.066
DSG3,0.105,0.037,0.052,0.992
S100P,0.021,0.013,0.999,0.023
MAGEA12,0.151,0.098,0.178,0.967
S100A2,0.427,0.024,0.888,0.169
CLCA4,0.025,0.007,1.0,0.009
CLDN1,0.056,0.07,0.995,0.052
PTPRZ1,0.068,0.036,0.051,0.996
DEFB4,0.076,0.992,0.095,0.03
PENK,0.107,0.092,0.982,0.126
TFPI2,0.971,0.112,0.204,0.049
CLDN8,0.011,0.007,0.013,1.0
TMPRSS11D,0.103,0.128,0.174,0.971
CALML5,0.082,0.975,0.201,0.056
PRSS21,0.064,0.123,0.097,0.986
SERPINA3,0.98,0.075,0.103,0.152
TSPAN7,0.017,0.014,0.014,1.0
CCL20,0.08,0.977,0.12,0.159
PROM1,0.074,0.186,0.975,0.096
PADI3,0.044,0.008,0.999,0.006
BNC1,0.979,0.051,0.09,0.178
IVL,0.122,0.009,0.992,0.012
MAGEA11,0.069,0.374,0.877,0.295
CTSE,0.969,0.068,0.217,0.099
FABP4,0.991,0.039,0.127,0.029
MAGEB2,0.103,0.982,0.126,0.091
FGFBP1,0.044,0.021,0.026,0.998
TUBB2B,0.078,0.976,0.139,0.149
AGR2,0.06,0.049,0.976,0.204
