,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
NTS,0.0,0.0,0.328,0.0,0.176,0.328,0.531,0.24,0.0,0.0,0.0,0.466,0.444,0.0,0.0,0.0
KRT14,0.0,0.0,0.412,0.193,0.0,0.525,0.314,0.529,0.0,0.0,0.0,0.307,0.0,0.0,0.0,0.213
SPRR3,0.0,0.0,0.371,0.0,0.209,0.461,0.401,0.426,0.0,0.0,0.0,0.433,0.0,0.0,0.0,0.275
KRT13,0.0,0.0,0.0,0.0,0.357,0.341,0.374,0.436,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.407
UPK1B,0.0,0.378,0.13,0.0,0.0,0.314,0.502,0.0,0.0,0.0,0.0,0.438,0.314,0.0,0.0,0.447
S100A7,0.0,0.0,0.483,0.33,0.251,0.455,0.0,0.479,0.0,0.0,0.0,0.0,0.0,0.0,0.294,0.268
HLA-DQA1,0.0,0.0,0.181,0.386,0.415,0.0,0.0,0.25,0.322,0.0,0.0,0.0,0.317,0.307,0.535,0.0
MAGEA4,0.0,0.426,0.492,0.357,0.331,0.151,0.0,0.0,0.0,0.0,0.0,0.226,0.373,0.356,0.0,0.0
AKR1B10,0.301,0.475,0.0,0.0,0.0,0.0,0.367,0.153,0.272,0.426,0.0,0.404,0.329,0.0,0.0,0.0
GSTA1,0.0,0.449,0.333,0.0,0.0,0.0,0.361,0.0,0.283,0.432,0.0,0.379,0.384,0.0,0.0,0.0
SPRR1B,0.0,0.0,0.477,0.057,0.095,0.471,0.369,0.456,0.0,0.0,0.0,0.336,0.0,0.0,0.0,0.285
SPRR1A,0.0,0.0,0.505,0.0,0.12,0.467,0.354,0.412,0.0,0.0,0.0,0.332,0.0,0.0,0.0,0.328
SFTPC,0.041,0.496,0.302,0.0,0.237,0.0,0.374,0.361,0.298,0.248,0.214,0.248,0.0,0.278,0.0,0.0
RPS4Y1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMP10,0.0,0.0,0.0,0.192,0.0,0.457,0.448,0.409,0.422,0.0,0.376,0.0,0.0,0.0,0.0,0.258
CES1,0.294,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.357,0.434,0.0,0.37,0.49,0.0,0.0,0.0
LY6D,0.0,0.0,0.0,0.061,0.349,0.415,0.302,0.547,0.0,0.0,0.0,0.231,0.0,0.0,0.0,0.509
KRT6B,0.0,0.0,0.458,0.242,0.298,0.471,0.314,0.427,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0
KRT6A,0.0,0.0,0.0,0.185,0.042,0.456,0.459,0.516,0.0,0.0,0.0,0.397,0.0,0.0,0.0,0.348
ADH1C,0.0,0.321,0.0,0.0,0.0,0.0,0.464,0.0,0.231,0.539,0.205,0.309,0.0,0.448,0.0,0.0
ADH7,0.229,0.322,0.0,0.0,0.0,0.0,0.4,0.118,0.281,0.424,0.0,0.482,0.423,0.0,0.0,0.0
FGG,0.0,0.43,0.209,0.0,0.0,0.0,0.0,0.324,0.297,0.225,0.0,0.0,0.579,0.31,0.309,0.0
